,work_year,experience_level,job_title,remote_ratio,company_size,salary_in_usd,Projection,,SUMMARY OUTPUT,,,,,,,
600,2022,1,92893,0,2,67000,33665,,,,,,,,,
601,2022,1,92893,0,2,52000,33665,,Regression Statistics,,,,,,,
50,2020,1,92893,0,1,6072,3957,,Multiple R,0.586248942,,,,,,
86,2021,1,92893,50,2,59102,29516,,R Square,0.343687822,,,,,,
124,2021,1,92893,50,2,10354,29516,,Adjusted R Square,0.335625019,,,,,,
5,2020,1,92893,100,3,72000,33786,,Standard Error,46748.53774,,,,,,
51,2020,1,92893,100,3,91000,33786,,Observations,413,,,,,,
79,2021,1,92893,100,2,80000,36013,,,,,,,,,
122,2021,1,92893,100,2,50000,36013,,ANOVA,,,,,,,
38,2020,1,92893,100,1,10000,16950,,,df,SS,MS,F,Significance F,,
118,2021,1,92893,100,1,90000,27595,,Regression,5,4.66E+11,9.32E+10,42.62634,0,,
172,2021,1,92893,100,1,60000,27595,,Residual,407,8.89E+11,2.19E+09,,,,
326,2022,4,92893,100,2,130000,159705,,Total,412,1.36E+12,,,,,
327,2022,4,92893,100,2,110000,159705,,,,,,,,,
100,2021,2,92893,0,3,75000,69120,,,Coefficients,Standard Error,t Stat,P-value,Lower 95%,,
103,2021,2,92893,0,3,62000,69120,,Intercept,-21653726.46,7724131,-2.80339,0.005299,-3.70E+07,,
307,2022,2,92893,0,2,106260,71347,,work_year,10645.07004,3821.329,2.785698,0.005591,3133.064,,
308,2022,2,92893,0,2,126500,71347,,experience_level,37682.41233,3553.622,10.60394,2.32E-23,30696.67,,
530,2022,2,92893,0,2,85000,71347,,job_title,1.168463646,0.308896,3.782708,0.000178,0.561233,,
531,2022,2,92893,0,2,75000,71347,,remote_ratio,129.9328587,55.25268,2.351612,0.019168,21.3166,,
567,2022,2,92893,0,2,65438,71347,,company_size,8417.607982,3946.017,2.133191,0.033507,660.4898,,
586,2022,2,92893,0,2,45807,71347,,,,,,,,,
367,2022,2,92893,0,1,58000,62930,,,,,,,,,
406,2022,2,92893,0,1,58000,62930,,,,,,,,,
15,2020,2,92893,50,3,8000,64971,,,,,,,,,
34,2020,2,92893,50,3,46759,64971,,,,,,,,,
105,2021,2,92893,50,3,51519,75616,,,,,,,,,
14,2020,2,92893,100,3,85000,71468,,,,,,,,,
140,2021,2,92893,100,3,135000,82113,,,,,,,,,
241,2021,2,92893,100,3,80000,82113,,,,,,,,,
254,2021,2,92893,100,3,93000,82113,,,,,,,,,
135,2021,2,92893,100,2,90000,73696,,,,,,,,,
329,2022,2,92893,100,2,115500,84341,,,,,,,,,
336,2022,2,92893,100,2,167000,84341,,,,,,,,,
408,2022,2,92893,100,2,52351,84341,,,,,,,,,
429,2022,2,92893,100,2,39263,84341,,,,,,,,,
430,2022,2,92893,100,2,43966,84341,,,,,,,,,
431,2022,2,92893,100,2,32974,84341,,,,,,,,,
440,2022,2,92893,100,2,43966,84341,,,,,,,,,
441,2022,2,92893,100,2,32974,84341,,,,,,,,,
470,2022,2,92893,100,2,135000,84341,,,,,,,,,
471,2022,2,92893,100,2,50000,84341,,,,,,,,,
522,2022,2,92893,100,1,20000,75923,,,,,,,,,
305,2022,3,92893,0,2,99000,109030,,,,,,,,,
306,2022,3,92893,0,2,116000,109030,,,,,,,,,
376,2022,3,92893,0,2,132000,109030,,,,,,,,,
387,2022,3,92893,0,2,164000,109030,,,,,,,,,
402,2022,3,92893,0,2,115934,109030,,,,,,,,,
403,2022,3,92893,0,2,81666,109030,,,,,,,,,
588,2022,3,92893,0,2,99000,109030,,,,,,,,,
604,2022,3,92893,0,2,129000,109030,,,,,,,,,
261,2021,3,92893,50,3,63831,113299,,,,,,,,,
233,2021,3,92893,100,3,200000,119796,,,,,,,,,
229,2021,3,92893,100,2,71786,111378,,,,,,,,,
290,2022,3,92893,100,2,155000,122023,,,,,,,,,
291,2022,3,92893,100,2,120600,122023,,,,,,,,,
296,2022,3,92893,100,2,102100,122023,,,,,,,,,
297,2022,3,92893,100,2,84900,122023,,,,,,,,,
318,2022,3,92893,100,2,90320,122023,,,,,,,,,
325,2022,3,92893,100,2,124190,122023,,,,,,,,,
328,2022,3,92893,100,2,170000,122023,,,,,,,,,
330,2022,3,92893,100,2,112900,122023,,,,,,,,,
331,2022,3,92893,100,2,90320,122023,,,,,,,,,
332,2022,3,92893,100,2,112900,122023,,,,,,,,,
333,2022,3,92893,100,2,90320,122023,,,,,,,,,
338,2022,3,92893,100,2,136600,122023,,,,,,,,,
339,2022,3,92893,100,2,109280,122023,,,,,,,,,
349,2022,3,92893,100,2,135000,122023,,,,,,,,,
360,2022,3,92893,100,2,130000,122023,,,,,,,,,
361,2022,3,92893,100,2,61300,122023,,,,,,,,,
362,2022,3,92893,100,2,130000,122023,,,,,,,,,
363,2022,3,92893,100,2,61300,122023,,,,,,,,,
382,2022,3,92893,100,2,128875,122023,,,,,,,,,
383,2022,3,92893,100,2,93700,122023,,,,,,,,,
392,2022,3,92893,100,2,112900,122023,,,,,,,,,
393,2022,3,92893,100,2,90320,122023,,,,,,,,,
527,2022,3,92893,100,2,135000,122023,,,,,,,,,
528,2022,3,92893,100,2,100000,122023,,,,,,,,,
529,2022,3,92893,100,2,90320,122023,,,,,,,,,
536,2022,3,92893,100,2,112900,122023,,,,,,,,,
540,2022,3,92893,100,2,115934,122023,,,,,,,,,
541,2022,3,92893,100,2,81666,122023,,,,,,,,,
548,2022,3,92893,100,2,99050,122023,,,,,,,,,
564,2022,3,92893,100,2,116150,122023,,,,,,,,,
566,2022,3,92893,100,2,170000,122023,,,,,,,,,
568,2022,3,92893,100,2,80000,122023,,,,,,,,,
572,2022,3,92893,100,2,100000,122023,,,,,,,,,
573,2022,3,92893,100,2,69000,122023,,,,,,,,,
577,2022,3,92893,100,2,150075,122023,,,,,,,,,
580,2022,3,92893,100,2,126500,122023,,,,,,,,,
581,2022,3,92893,100,2,106260,122023,,,,,,,,,
584,2022,3,92893,100,2,105000,122023,,,,,,,,,
585,2022,3,92893,100,2,110925,122023,,,,,,,,,
589,2022,3,92893,100,2,60000,122023,,,,,,,,,
597,2022,3,92893,100,2,170000,122023,,,,,,,,,
605,2022,3,92893,100,2,150000,122023,,,,,,,,,
89,2021,3,92893,100,1,80000,102960,,,,,,,,,
239,2021,1,112725,50,2,21637,52689,,,,,,,,,
269,2021,1,112725,50,2,65013,52689,,,,,,,,,
53,2020,1,112725,100,3,54742,56959,,,,,,,,,
109,2021,1,112725,100,3,30428,67604,,,,,,,,,
166,2021,1,112725,100,3,80000,67604,,,,,,,,,
270,2021,1,112725,100,3,72500,67604,,,,,,,,,
304,2022,1,112725,100,2,52351,69831,,,,,,,,,
316,2022,1,112725,100,2,45807,69831,,,,,,,,,
465,2022,1,112725,100,2,120000,69831,,,,,,,,,
496,2022,1,112725,100,2,58035,69831,,,,,,,,,
16,2020,1,112725,100,1,41689,40123,,,,,,,,,
512,2022,1,112725,100,1,65000,61414,,,,,,,,,
309,2022,4,112725,100,2,242000,182878,,,,,,,,,
310,2022,4,112725,100,2,200000,182878,,,,,,,,,
482,2022,4,112725,100,2,324000,182878,,,,,,,,,
483,2022,4,112725,100,2,216000,182878,,,,,,,,,
182,2021,2,112725,0,3,26005,92293,,,,,,,,,
208,2021,2,112725,0,3,20000,92293,,,,,,,,,
247,2021,2,112725,0,2,12103,83875,,,,,,,,,
266,2021,2,112725,0,2,93150,83875,,,,,,,,,
267,2021,2,112725,0,2,111775,83875,,,,,,,,,
313,2022,2,112725,0,2,78526,94520,,,,,,,,,
314,2022,2,112725,0,2,52351,94520,,,,,,,,,
397,2022,2,112725,0,2,117789,94520,,,,,,,,,
405,2022,2,112725,0,2,98158,94520,,,,,,,,,
418,2022,2,112725,0,2,63900,94520,,,,,,,,,
425,2022,2,112725,0,2,82900,94520,,,,,,,,,
542,2022,2,112725,0,2,206699,94520,,,,,,,,,
543,2022,2,112725,0,2,99100,94520,,,,,,,,,
35,2020,2,112725,50,3,74130,88144,,,,,,,,,
44,2020,2,112725,50,3,112872,88144,,,,,,,,,
49,2020,2,112725,50,3,70139,88144,,,,,,,,,
162,2021,2,112725,50,3,28369,98789,,,,,,,,,
245,2021,2,112725,50,3,72212,98789,,,,,,,,,
462,2022,2,112725,50,3,54957,109435,,,,,,,,,
212,2021,2,112725,50,1,66022,81954,,,,,,,,,
43,2020,2,112725,100,3,106000,94641,,,,,,,,,
60,2020,2,112725,100,3,110000,94641,,,,,,,,,
81,2021,2,112725,100,3,140000,105286,,,,,,,,,
85,2021,2,112725,100,3,28476,105286,,,,,,,,,
114,2021,2,112725,100,3,45391,105286,,,,,,,,,
119,2021,2,112725,100,3,200000,105286,,,,,,,,,
144,2021,2,112725,100,3,100000,105286,,,,,,,,,
147,2021,2,112725,100,3,90000,105286,,,,,,,,,
171,2021,2,112725,100,3,82528,105286,,,,,,,,,
242,2021,2,112725,100,3,110000,105286,,,,,,,,,
256,2021,2,112725,100,3,200000,105286,,,,,,,,,
280,2021,2,112725,100,3,112000,105286,,,,,,,,,
282,2021,2,112725,100,3,69741,105286,,,,,,,,,
61,2020,2,112725,100,2,130800,86223,,,,,,,,,
185,2021,2,112725,100,2,4000,96868,,,,,,,,,
268,2021,2,112725,100,2,28016,96868,,,,,,,,,
294,2022,2,112725,100,2,170000,107514,,,,,,,,,
295,2022,2,112725,100,2,150000,107514,,,,,,,,,
412,2022,2,112725,100,2,65949,107514,,,,,,,,,
413,2022,2,112725,100,2,49461,107514,,,,,,,,,
414,2022,2,112725,100,2,78526,107514,,,,,,,,,
415,2022,2,112725,100,2,58894,107514,,,,,,,,,
427,2022,2,112725,100,2,49461,107514,,,,,,,,,
432,2022,2,112725,100,2,87932,107514,,,,,,,,,
433,2022,2,112725,100,2,76940,107514,,,,,,,,,
434,2022,2,112725,100,2,104702,107514,,,,,,,,,
435,2022,2,112725,100,2,91614,107514,,,,,,,,,
436,2022,2,112725,100,2,65949,107514,,,,,,,,,
437,2022,2,112725,100,2,87932,107514,,,,,,,,,
442,2022,2,112725,100,2,98158,107514,,,,,,,,,
443,2022,2,112725,100,2,78526,107514,,,,,,,,,
445,2022,2,112725,100,2,76940,107514,,,,,,,,,
517,2022,2,112725,100,2,68147,107514,,,,,,,,,
348,2022,3,112725,0,3,113000,140620,,,,,,,,,
364,2022,3,112725,0,3,160000,140620,,,,,,,,,
207,2021,3,112725,0,2,165000,121558,,,,,,,,,
319,2022,3,112725,0,2,181940,132203,,,,,,,,,
320,2022,3,112725,0,2,132320,132203,,,,,,,,,
321,2022,3,112725,0,2,220110,132203,,,,,,,,,
322,2022,3,112725,0,2,160080,132203,,,,,,,,,
346,2022,3,112725,0,2,108800,132203,,,,,,,,,
354,2022,3,112725,0,2,78526,132203,,,,,,,,,
355,2022,3,112725,0,2,65438,132203,,,,,,,,,
366,2022,3,112725,0,2,136000,132203,,,,,,,,,
557,2022,3,112725,0,2,70500,132203,,,,,,,,,
565,2022,3,112725,0,2,54000,132203,,,,,,,,,
27,2020,3,112725,0,1,33511,102495,,,,,,,,,
22,2020,3,112725,50,3,47899,125827,,,,,,,,,
248,2021,3,112725,50,3,96282,136472,,,,,,,,,
188,2021,3,112725,50,1,76833,119637,,,,,,,,,
47,2020,3,112725,100,3,188000,132323,,,,,,,,,
101,2021,3,112725,100,3,150000,142969,,,,,,,,,
400,2022,3,112725,100,3,209100,153614,,,,,,,,,
401,2022,3,112725,100,3,154600,153614,,,,,,,,,
407,2022,3,112725,100,3,183600,153614,,,,,,,,,
426,2022,3,112725,100,3,100800,153614,,,,,,,,,
446,2022,3,112725,100,3,209100,153614,,,,,,,,,
447,2022,3,112725,100,3,154600,153614,,,,,,,,,
108,2021,3,112725,100,2,150000,134551,,,,,,,,,
289,2022,3,112725,100,2,135000,145196,,,,,,,,,
334,2022,3,112725,100,2,165400,145196,,,,,,,,,
335,2022,3,112725,100,2,132320,145196,,,,,,,,,
337,2022,3,112725,100,2,243900,145196,,,,,,,,,
340,2022,3,112725,100,2,128875,145196,,,,,,,,,
341,2022,3,112725,100,2,93700,145196,,,,,,,,,
345,2022,3,112725,100,2,156600,145196,,,,,,,,,
377,2022,3,112725,100,2,165400,145196,,,,,,,,,
380,2022,3,112725,100,2,136994,145196,,,,,,,,,
381,2022,3,112725,100,2,101570,145196,,,,,,,,,
385,2022,3,112725,100,2,132320,145196,,,,,,,,,
388,2022,3,112725,100,2,155000,145196,,,,,,,,,
404,2022,3,112725,100,2,175000,145196,,,,,,,,,
448,2022,3,112725,100,2,180000,145196,,,,,,,,,
450,2022,3,112725,100,2,80000,145196,,,,,,,,,
456,2022,3,112725,100,2,105000,145196,,,,,,,,,
468,2022,3,112725,100,2,100000,145196,,,,,,,,,
484,2022,3,112725,100,2,210000,145196,,,,,,,,,
504,2022,3,112725,100,2,115000,145196,,,,,,,,,
537,2022,3,112725,100,2,155000,145196,,,,,,,,,
544,2022,3,112725,100,2,130000,145196,,,,,,,,,
545,2022,3,112725,100,2,115000,145196,,,,,,,,,
546,2022,3,112725,100,2,110500,145196,,,,,,,,,
547,2022,3,112725,100,2,130000,145196,,,,,,,,,
549,2022,3,112725,100,2,160000,145196,,,,,,,,,
554,2022,3,112725,100,2,200100,145196,,,,,,,,,
555,2022,3,112725,100,2,160000,145196,,,,,,,,,
556,2022,3,112725,100,2,145000,145196,,,,,,,,,
562,2022,3,112725,100,2,175100,145196,,,,,,,,,
563,2022,3,112725,100,2,140250,145196,,,,,,,,,
578,2022,3,112725,100,2,100000,145196,,,,,,,,,
579,2022,3,112725,100,2,25000,145196,,,,,,,,,
582,2022,3,112725,100,2,220110,145196,,,,,,,,,
583,2022,3,112725,100,2,160080,145196,,,,,,,,,
602,2022,3,112725,100,2,154000,145196,,,,,,,,,
603,2022,3,112725,100,2,126000,145196,,,,,,,,,
107,2021,3,112725,100,1,115000,126133,,,,,,,,,
12,2020,1,108187,0,2,39916,30245,,,,,,,,,
238,2021,1,108187,0,2,4000,40890,,,,,,,,,
10,2020,1,108187,0,1,51321,21828,,,,,,,,,
66,2020,1,108187,0,1,49268,21828,,,,,,,,,
134,2021,1,108187,0,1,100000,32473,,,,,,,,,
94,2021,1,108187,50,3,29751,55805,,,,,,,,,
246,2021,1,108187,50,3,36643,55805,,,,,,,,,
276,2021,1,108187,50,3,58000,55805,,,,,,,,,
131,2021,1,108187,50,2,49646,47387,,,,,,,,,
487,2022,1,108187,50,2,100000,58032,,,,,,,,,
505,2022,1,108187,50,2,86703,58032,,,,,,,,,
62,2020,1,108187,50,1,21669,28324,,,,,,,,,
65,2020,1,108187,50,1,62726,28324,,,,,,,,,
153,2021,1,108187,100,3,13400,62301,,,,,,,,,
499,2022,1,108187,100,3,52396,72946,,,,,,,,,
502,2022,1,108187,100,3,40000,72946,,,,,,,,,
139,2021,1,108187,100,2,80000,53884,,,,,,,,,
253,2021,1,108187,100,2,28399,53884,,,,,,,,,
275,2021,1,108187,100,2,100000,53884,,,,,,,,,
463,2022,1,108187,100,2,18442,64529,,,,,,,,,
68,2020,1,108187,100,1,105000,34821,,,,,,,,,
251,2021,1,108187,100,1,90000,45466,,,,,,,,,
0,2020,2,108187,0,3,79833,76345,,,,,,,,,
11,2020,2,108187,0,3,40481,76345,,,,,,,,,
104,2021,2,108187,0,3,73000,86990,,,,,,,,,
518,2022,2,108187,0,3,122346,97635,,,,,,,,,
222,2021,2,108187,0,2,33808,78573,,,,,,,,,
292,2022,2,108187,0,2,130000,89218,,,,,,,,,
293,2022,2,108187,0,2,90000,89218,,,,,,,,,
311,2022,2,108187,0,2,65438,89218,,,,,,,,,
312,2022,2,108187,0,2,39263,89218,,,,,,,,,
410,2022,2,108187,0,2,71982,89218,,,,,,,,,
411,2022,2,108187,0,2,45807,89218,,,,,,,,,
474,2022,2,108187,0,2,183228,89218,,,,,,,,,
475,2022,2,108187,0,2,91614,89218,,,,,,,,,
538,2022,2,108187,0,2,141300,89218,,,,,,,,,
539,2022,2,108187,0,2,102100,89218,,,,,,,,,
127,2021,2,108187,0,1,9466,70155,,,,,,,,,
176,2021,2,108187,0,1,2859,70155,,,,,,,,,
205,2021,2,108187,0,1,12901,70155,,,,,,,,,
7,2020,2,108187,50,3,35735,82842,,,,,,,,,
181,2021,2,108187,50,3,90734,93487,,,,,,,,,
195,2021,2,108187,50,3,147000,93487,,,,,,,,,
217,2021,2,108187,50,3,90734,93487,,,,,,,,,
221,2021,2,108187,50,3,116914,93487,,,,,,,,,
223,2021,2,108187,50,3,56256,93487,,,,,,,,,
227,2021,2,108187,50,3,88654,93487,,,,,,,,,
250,2021,2,108187,50,3,115000,93487,,,,,,,,,
260,2021,2,108187,50,3,130000,93487,,,,,,,,,
287,2021,2,108187,50,3,109000,93487,,,,,,,,,
200,2021,2,108187,50,2,61467,85069,,,,,,,,,
70,2020,2,108187,50,1,62726,66007,,,,,,,,,
71,2020,2,108187,50,1,42197,66007,,,,,,,,,
48,2020,2,108187,100,3,105000,89339,,,,,,,,,
116,2021,2,108187,100,3,50000,99984,,,,,,,,,
152,2021,2,108187,100,3,75774,99984,,,,,,,,,
177,2021,2,108187,100,3,40038,99984,,,,,,,,,
202,2021,2,108187,100,3,37825,99984,,,,,,,,,
204,2021,2,108187,100,3,160000,99984,,,,,,,,,
459,2022,2,108187,100,3,31615,110629,,,,,,,,,
492,2022,2,108187,100,3,35590,110629,,,,,,,,,
524,2022,2,108187,100,3,135000,110629,,,,,,,,,
56,2020,2,108187,100,2,38776,80921,,,,,,,,,
57,2020,2,108187,100,2,118000,80921,,,,,,,,,
59,2020,2,108187,100,2,138350,80921,,,,,,,,,
151,2021,2,108187,100,2,150000,91566,,,,,,,,,
156,2021,2,108187,100,2,119059,91566,,,,,,,,,
237,2021,2,108187,100,2,46809,91566,,,,,,,,,
478,2022,2,108187,100,2,200000,102211,,,,,,,,,
479,2022,2,108187,100,2,120000,102211,,,,,,,,,
488,2022,2,108187,100,2,100000,102211,,,,,,,,,
520,2022,2,108187,100,2,69336,102211,,,,,,,,,
526,2022,2,108187,100,2,78000,102211,,,,,,,,,
598,2022,2,108187,100,2,160000,102211,,,,,,,,,
599,2022,2,108187,100,2,130000,102211,,,,,,,,,
40,2020,2,108187,100,1,45760,72503,,,,,,,,,
46,2020,2,108187,100,1,76958,72503,,,,,,,,,
143,2021,2,108187,100,1,82500,83148,,,,,,,,,
179,2021,2,108187,100,1,5679,83148,,,,,,,,,
262,2021,2,108187,100,1,16904,83148,,,,,,,,,
264,2021,2,108187,100,1,25532,83148,,,,,,,,,
515,2022,2,108187,100,1,48000,93793,,,,,,,,,
228,2021,3,108187,0,3,135000,124673,,,,,,,,,
323,2022,3,108187,0,3,180000,135318,,,,,,,,,
324,2022,3,108187,0,3,120000,135318,,,,,,,,,
428,2022,3,108187,0,3,140400,135318,,,,,,,,,
444,2022,3,108187,0,3,215300,135318,,,,,,,,,
550,2022,3,108187,0,3,205300,135318,,,,,,,,,
551,2022,3,108187,0,3,140400,135318,,,,,,,,,
300,2022,3,108187,0,2,117789,126900,,,,,,,,,
301,2022,3,108187,0,2,104702,126900,,,,,,,,,
347,2022,3,108187,0,2,95550,126900,,,,,,,,,
356,2022,3,108187,0,2,150000,126900,,,,,,,,,
423,2022,3,108187,0,2,180000,126900,,,,,,,,,
424,2022,3,108187,0,2,80000,126900,,,,,,,,,
558,2022,3,108187,0,2,205300,126900,,,,,,,,,
559,2022,3,108187,0,2,140400,126900,,,,,,,,,
69,2020,3,108187,0,1,91237,97192,,,,,,,,,
58,2020,3,108187,50,3,120000,120524,,,,,,,,,
75,2021,3,108187,50,3,53192,131169,,,,,,,,,
278,2021,3,108187,50,3,20171,131169,,,,,,,,,
274,2021,3,108187,50,2,77684,122752,,,,,,,,,
32,2020,3,108187,100,3,68428,127021,,,,,,,,,
63,2020,3,108187,100,3,412000,127021,,,,,,,,,
240,2021,3,108187,100,3,103691,137666,,,,,,,,,
243,2021,3,108187,100,3,165000,137666,,,,,,,,,
398,2022,3,108187,100,3,215300,148311,,,,,,,,,
399,2022,3,108187,100,3,158200,148311,,,,,,,,,
298,2022,3,108187,100,2,136620,139893,,,,,,,,,
299,2022,3,108187,100,2,99360,139893,,,,,,,,,
302,2022,3,108187,100,2,146000,139893,,,,,,,,,
303,2022,3,108187,100,2,123000,139893,,,,,,,,,
315,2022,3,108187,100,2,165220,139893,,,,,,,,,
317,2022,3,108187,100,2,120160,139893,,,,,,,,,
352,2022,3,108187,100,2,167000,139893,,,,,,,,,
353,2022,3,108187,100,2,123000,139893,,,,,,,,,
357,2022,3,108187,100,2,211500,139893,,,,,,,,,
365,2022,3,108187,100,2,138600,139893,,,,,,,,,
369,2022,3,108187,100,2,170000,139893,,,,,,,,,
370,2022,3,108187,100,2,123000,139893,,,,,,,,,
409,2022,3,108187,100,2,180000,139893,,,,,,,,,
416,2022,3,108187,100,2,260000,139893,,,,,,,,,
467,2022,3,108187,100,2,104890,139893,,,,,,,,,
469,2022,3,108187,100,2,140000,139893,,,,,,,,,
472,2022,3,108187,100,2,220000,139893,,,,,,,,,
473,2022,3,108187,100,2,140000,139893,,,,,,,,,
476,2022,3,108187,100,2,185100,139893,,,,,,,,,
486,2022,3,108187,100,2,230000,139893,,,,,,,,,
494,2022,3,108187,100,2,100000,139893,,,,,,,,,
497,2022,3,108187,100,2,165000,139893,,,,,,,,,
552,2022,3,108187,100,2,176000,139893,,,,,,,,,
553,2022,3,108187,100,2,144000,139893,,,,,,,,,
569,2022,3,108187,100,2,140000,139893,,,,,,,,,
570,2022,3,108187,100,2,210000,139893,,,,,,,,,
571,2022,3,108187,100,2,140000,139893,,,,,,,,,
574,2022,3,108187,100,2,210000,139893,,,,,,,,,
575,2022,3,108187,100,2,140000,139893,,,,,,,,,
576,2022,3,108187,100,2,210000,139893,,,,,,,,,
587,2022,3,108187,100,2,140000,139893,,,,,,,,,
592,2022,3,108187,100,2,230000,139893,,,,,,,,,
593,2022,3,108187,100,2,150000,139893,,,,,,,,,
596,2022,3,108187,100,2,210000,139893,,,,,,,,,
226,2021,3,108187,100,1,87738,120831,,,,,,,,,
37,2020,1,104880,50,3,250000,41295,,,,,,,,,
191,2021,1,104880,50,2,21844,43523,,,,,,,,,
214,2021,1,104880,50,2,24823,43523,,,,,,,,,
178,2021,1,104880,50,1,81000,35105,,,,,,,,,
386,2022,1,104880,100,3,37300,69082,,,,,,,,,
39,2020,1,104880,100,1,138000,30957,,,,,,,,,
128,2021,1,104880,100,1,20000,41602,,,,,,,,,
159,2021,1,104880,100,1,125000,41602,,,,,,,,,
273,2021,1,104880,100,1,85000,41602,,,,,,,,,
20,2020,2,104880,0,2,43331,64064,,,,,,,,,
389,2022,2,104880,0,2,124333,85354,,,,,,,,,
390,2022,2,104880,0,2,98158,85354,,,,,,,,,
210,2021,2,104880,50,3,24823,89623,,,,,,,,,
288,2021,2,104880,50,3,51064,89623,,,,,,,,,
189,2021,2,104880,50,1,74000,72788,,,,,,,,,
220,2021,2,104880,100,3,46597,96119,,,,,,,,,
503,2022,2,104880,100,3,87425,106765,,,,,,,,,
218,2021,2,104880,100,2,88654,87702,,,,,,,,,
396,2022,2,104880,100,2,87932,98347,,,,,,,,,
83,2021,2,104880,100,1,47282,79284,,,,,,,,,
453,2022,2,104880,100,1,120000,89929,,,,,,,,,
263,2021,3,104880,0,3,66265,120809,,,,,,,,,
371,2022,3,104880,0,2,189650,123036,,,,,,,,,
372,2022,3,104880,0,2,164996,123036,,,,,,,,,
438,2022,3,104880,0,2,189650,123036,,,,,,,,,
439,2022,3,104880,0,2,164996,123036,,,,,,,,,
4,2020,3,104880,50,3,150000,116660,,,,,,,,,
110,2021,3,104880,50,3,94564,127305,,,,,,,,,
258,2021,3,104880,50,3,185000,127305,,,,,,,,,
145,2021,3,104880,50,2,82744,118888,,,,,,,,,
197,2021,3,104880,100,3,24342,133802,,,,,,,,,
206,2021,3,104880,100,3,200000,133802,,,,,,,,,
500,2022,3,104880,100,3,62651,144447,,,,,,,,,
477,2022,3,104880,100,2,220000,136029,,,,,,,,,
485,2022,3,104880,100,2,120000,136029,,,,,,,,,
532,2022,3,104880,100,2,214000,136029,,,,,,,,,
533,2022,3,104880,100,2,192600,136029,,,,,,,,,
64,2020,3,104880,100,1,45618,106322,,,,,,,,,
480,2022,3,104880,100,1,120000,127612,,,,,,,,,
481,2022,3,104880,100,1,65000,127612,,,,,,,,,
513,2022,3,104880,100,1,71444,127612,,,,,,,,,
